# 日常高频词组库（jieba 词频≥200 自动生成，86 全码规则，5239 词）
aaaw 葡萄牙人
sfgw 杨献珍
sfia 枝江
sflf 贾朝轩
sfmq 梅超风 李云风
sfrn 票据
sfss 楠木
sftt 楠竹
sfuy 西直门
sfwk 杜仲
sfww 票价
sfym 李志高
sgad 西藏 本期
sgaq 本区
sgaw 西班牙人
sgay 西班牙语
sgbb 杯子 配子
sgbf 醴陵 西陵
sgde 配有
sgdj 西非
sgfa 西域
sggg 李瑞环
sggo 西晋 西亚 醒来
sgia 西江
sgii 西沙
sgis 酿酒
sgjg 要不是
sgkh 西路
sgkk 西口
sglq 酸软
sgmf 西周
sgng 醒悟
sgnt 酸性
sgpp 林平之
sgqc 配色
sgqg 本钱
sgsg 杭天醉
sgtf 西德
sgth 本版
sgud 本着
sguj 本章 西单
sguk 本部
sgwc 樊一翁
sgwu 配位
sgwx 西华
sgwy 禁不住
sgys 酸麻
sgyy 西方 本该 配方
shgx 朴素
shmq 想见
shtf 相待
shud 想着 相差
shwf 相会
shwy 相邻 想念
shyn 相望
siad 枯水期
siah 李沅芷
sicc 李小双
sifj 杨波坦
sifm 柳湖坝
sijj 丁汝昌
sikh 李鸿忠
simd 西海岸
sipg 杨兴富
sisa 林兆枢
sist 松水桥
sith 楚源牌
siwc 李汉俊
sjcb 李明豫
sjih 杨晓波
sjjp 杨晨晖
sjpg 杨景宇
sjww 村里人
skaw 杜鹃花
skid 杨叶湖
skip 李中堂
sknd 可怖
sksk 可可
sktf 可行
skvn 李贵妃
skyn 可望
slid 粟田湖
sliq 李四光
sliv 杨国梁
slnu 杨国屏
slps 李连宁
sltd 丁思甜
slyd 杨国庆
smig 李岚清
smkh 杨同嘴
smyg 机主
sneg 杞县
snje 李慎明
snxw 杨维
soal 杨业功
spaq 杨守敬
spbp 枢密院
spck 杨家台
spfj 李宗翰
spfy 李家墩
spga 杜宜瑾
spgy 西安事变
spis 杨家潭
spmm 西塞山
spss 棺木
spsy 棺椁
spyy 杜审言
sqgg 杜铁环
sqjh 李金早
sqjm 李铁映
sqlt 想象力
sqny 杨铁心
sqsc 橡树
sqta 攀升
sqwg 哥儿俩
srpu 棉袄
srsc 柏树
srss 板栗
srtf 桂质廷
sryi 核反应
ssaa 森工
ssan 杨可世
ssaq 林区
ssdg 机械厂
ssgg 楚王
sshw 杨柏龄
ssid 杨桥湖
ssjf 西西里
sskh 林中 栗林嘴
ssmm 桐柏山 松林山
ssog 木业
ssrg 禁捕
ssrm 木制
ssss 林木
sssy 木柱
ssth 木牌
sswg 木盒 梦鸽
ssyy 李树文
stbb 梅子
stig 杨德清
stnt 可靠性
stsr 杨长槐
stss 梅林
stwd 本科段
stws 植物体
styd 李重庵
styp 李行亮
subb 西门子 梯子
subi 杨闻孙
sufa 西北地区
sugg 李闯王
suip 李新觉
susc 梓树
susu 样样
suvt 李翊君
suyc 梅新育
suyf 标准计
suyv 李新良
svgy 柳如玉
svje 李建明
svsw 李如松
svuk 要冲
svvt 李建群
svwx 杨建华
svwy 要领
swap 李作荣
swdc 李儒雄
swfc 枪支
swia 林伯渠
swiu 松滋
swmm 松山
swpl 李从军
swrt 松手
swuu 权分立
swuy 西便门
sxfm 楚纪南
sxgg 柯约瑟
sxkk 李绪鄂
sxpg 相比之下
sxsq 木结构
sxww 可比价
sxxk 棉纺织
sycw 核试验
syee 樊启鹏
sygg 楚庄王
syic 杭汉
syih 李永波
syim 柱洞
syiq 林文漪
syjg 可说是
syjt 李肇星
syna 李为民
sysg 杨摩西
syud 柱头
syww 西方人
sywx 楚文化
syya 核试
syyg 贾亦斌
tabj 长阳
tadn 筑成
tafd 筑城
tafj 长堤
taft 长老
tagc 升至
taia 长满
tajj 徐世昌
tamm 长山
tant 季节性
tapu 长袍 长衫
tasc 自营权
tata 长长
tatg 长生
tauj 第七章
tawt 升任
tbiv 季梁
tbrh 壬子年
tcth 径自
tcyu 很难说
tdal 第三世界
tdbb 矮子
tddg 乱石
tddq 乱砍
tdft 适才
tdgd 第三天
tdhw 适龄
tdic 乔治
tdih 短小
tdip 生态学
tdiq 徐寿辉
tdkh 知足
tdng 自古以来
tdnm 第三届
tdqk 第三名
tdrh 千百年
tdrm 私有制
tdrs 乱打
tdtk 第三种
tdtl 徘徊
tdtr 科威特
tdud 第三卷
tduj 第三章 敌意
tduo 第三产业
tduq 第三次
tdwa 第三代
tdwc 徐克俊
tdwg 短剑 短命
tdwu 第三位
tdwy 筹集
tdxa 乔红
tdxn 第三纪
tdyy 敌方
tead 般若
tebw 船队
tefb 般地
tefc 航运
tegk 航速
tekh 盘中
tema 舟曲
temw 舱内
teta 船长
tete 舰艇 舰船 船舱
tetm 徭役
teuy 德胜门
texg 航母
teyg 舵主
tfaa 第十七期
tfab 第二节
tfad 先期
tfaq 选区
tfaw 街巷
tfdn 千万 赞成
tffj 行进
tfft 迁都
tfga 行刑
tfgc 行至
tfgd 第二天
tfgf 先于
tfgg 第十一
tfgh 丢下
tfgq 先烈
tfhh 千卡
tfhi 千步 第二步
tfhs 自动步枪
tfia 黎元洪
tfit 行省
tfiw 赞誉
tfiy 科教兴市
tfjf 德里
tfjg 先师
tfkh 行路 行踪
tflf 行辕
tflg 行车
tflw 第二轮
tfnm 第十届 第二届
tfny 千尺
tfor 第二炮兵
tfou 选料
tfpg 待定
tfpl 德军
tfpt 徐霞客
tfpv 德安
tfpy 行礼
tfqk 第二名
tfrc 造反
tfrd 靠拢
tfrg 午后
tfrh 千年 第二年
tfrt 千斤 徒手
tfrx 第二批
tfsd 廷杖
tftd 告辞
tftf 等待 先行 乖乖 德行
tfth 迁徙
tftj 奥地利
tftk 第二种
tfts 第二条
tfud 靠着 告状 第二卷
tfug 赞美
tfuj 第二章
tfuo 第二产业
tfuq 第二次
tfut 第二道
tfuy 午门
tfwa 第二代
tfwf 奥运会
tfwg 先例
tfwh 第二个
tfwq 造像
tfwt 选任
tfwu 第二位
tfww 等价 待人 先人
tfwx 自动化 德化
tfwy 先令
tfxe 第二级
tfxg 徐志纯
tfxt 千张
tfyc 德育
tfyl 千亩
tfyn 千户
tgaa 行政区划
tgab 第一节
tgad 第一期
tgat 和平共处
tgck 第一台
tgdm 第一面
tget 重用
tgfc 策动
tgft 管理者
tgfy 特殊教育
tggd 第一天
tggo 生来
tggq 生殖
tghk 征战
tgid 生源
tgip 物理学 物理学家 生理学
tgjg 物理量
tgjs 第一颗
tgkk 航天器
tgkt 徐天川
tglf 衙署 重围
tglt 策略 重力 繁殖力
tgmt 第一峰
tgnm 第五届
tgnn 管理局
tgns 航天飞机
tgnt 先天性 特殊性
tgpe 第一家
tgqd 垂危
tgqk 第一名
tgqt 生猪
tgrg 重兵
tgrm 第一罐
tgrx 第一批
tgsc 管理权
tgsf 翻来覆去
tgsq 重檐
tgth 生息
tgtk 第一种
tgud 第一卷
tgug 重病
tguj 第一章 第五章
tguk 第一部
tguo 第一产业
tguq 第一次 第五次
tgut 第一道
tguu 行政部门
tgwa 第一代
tgwh 第一个
tgwi 物理化学
tgwr 第一件
tgwt 重伤
tgwu 第一位
tgwv 第一分
tgxg 第一线
tgyf 征讨
tgyw 第一座
thbb 鼻子
thgo 自来
thhx 自此
thip 自学
thiv 延津
thlf 自转
thnn 自已
thny 自尽 处以
thqk 片名
thsy 算术
thta 处长
thtc 自私
thtd 自知
thtj 彼得
thtq 各具特色
thwh 自个
thyd 延庆
thyt 自旋
tiai 徐海东
tidh 魏清慧
tidm 长江三峡
tids 长江大桥
tiif 长江流域
tikk 刮水器
timc 徐小凤
tisc 自治权
titm 衍射
tiuo 生活资料
tivt 魏兴郡
tiyt 自治州
tiyx 入学率 升学率
tjbj 乔晓阳
tjbm 复出
tjdg 重晶石
tjdi 复旦大学
tjeg 秭归县
tjet 得胜
tjfg 微量元素
tjgf 篮球
tjgo 利亚
tjkk 利器
tjud 犁头
tjug 香辣
tjut 种师道
tjwv 复仇
tjya 透明度
tkaa 各式
tkdh 和丰
tkfn 程志
tkga 各型
tkkw 笑吟吟
tkll 和田
tknt 向忠发 种属
tkod 种类
tkrf 种质
tksu 各校
tkth 各处
tktk 种种
tkuy 各门
tkvt 种姓
tkxe 千吨级
tkyj 甜味剂
tkyt 各族 各州
tlab 第四节
tlbt 备降
tliy 血流
tlnm 第四届
tlnt 血性
tlud 第四卷
tluj 第四章
tluq 第四次
tlwn 微软公司
tlww 德国人
tlxn 第四纪
tmah 微臣
tmai 向东
tmfg 躯干
tmfp 躲过
tmga 身形 躲开
tmgk 射速
tmhh 向上
tmih 微小
tmiw 程贻举
tmjg 向量
tmmm 长岭岗
tmnt 季风性
tmrt 身手
tmtm 微微 躬身
tmud 身着
tmvi 奥妙
tmws 躯体
tmwv 身分
tmww 身价
tmyn 身亡
tnjo 徐以显
tnnt 特异性
topj 秋审
tpkh 季家嘴
tplt 穆罕默德
tpmm 徐家岗
tprg 航空兵
tpti 等额选举
tpyn 毛冠鹿
tpyw 德安府
tqgf 自然环境
tqpp 自然灾害
tqsf 特鲁西埃
tqyl 称谓
tqyt 黎族
traq 牧区
trir 造反派
trjg 选择题
trkk 牲口
trla 科技园区
trlk 御驾
trna 牧民
trnn 委托书
trnt 选择性
trog 牧业
trpf 季后赛
trrf 特技
trtf 我行
trtk 物种
trtv 特委
trut 御道 物产
trwg 特使
trww 委托人
trym 我市
tsad 科林斯
tsbb 条子
tsnt 重要性
ttcm 徐复观
ttdg 造船厂
ttdn 魏复盛
ttga 长条形
ttie 竹溪
ttip 生物学家
ttiy 短篇小说
ttjg 生长量
ttlf 竹园
ttmm 竹山
ttrq 短短的
ttry 自我批评
tttr 衍生物
tttt 笑笑
ttub 特种部队
ttud 怎么着
ttws 生物体
ttxt 竹乡
ttya 筵席
ttyd 徐秋斋
ttyx 利息率
tuft 生产者
tuiw 科举
tujg 生产量
tukm 乘员
tult 生产力 简略
tuud 乘着
tuuj 第六章
tuuo 生产资料
tuut 生产关系
tuwx 徐立华
tuxx 科比
tuyx 生产率
tvgx 程灵素
tvmt 魏巍
tvnm 第九届
tvsr 毛如柏
twaf 剩余劳动
twit 徐海
twpb 签字 繁体字 简体字
twpe 徐家
twqt 自个儿
twuk 剩余产品
twux 穆念慈
twyg 签证
twyh 迄今为止
twyt 徐州 答话 微分方程
txad 繁茂
txat 系统工程
txdg 敏感
txfb 系统地
txfg 第十
txfn 每块
txgg 第五
txgq 繁殖
txnr 血红蛋白
txti 每秒
txtt 毛细血管
tybw 等离子体
tydx 毛文龙
tyge 牧刘表
tyhk 知识点
tyig 徐永清
tyip 入学 入党
tykt 入川
tynt 适应性
tysa 徐高栋
tyuj 片刻间
tyut 入阁
tywt 系主任
tyym 入市
uadn 郑功成
uafd 闻世震
uapl 关东军
uauu 兰世立
uawf 总工会
uaww 奠基人
ublf 曾子墨
ubym 羊子庙
ucah 交通工具
ucff 普圣寺
ucfn 养鸡场
ucww 普通人
ucyt 总参谋长
udad 羟基
udai 关东
udal 郑成功
udca 头颈
uddq 郑克
udfc 减去
udfh 卷起
udgf 善于 头球
udgo 善恶
udhc 羊皮
udhh 头目 关上
udif 拳法
udip 阉党
udit 养活
udkg 头号
udkh 差遣
udkk 新石器
udmw 关内
udnn 关羽
udnt 眷属
udnu 颜邦屏
udpe 郑家
udqt 头儿
udqv 着急
udrh 养牛
udtf 叛徒 羊毛 送行 头等 善行
udtg 郑重 养生
udtk 郑和
udty 送往 送入
udud 关头 羚羊
uduk 头部
udut 减产
uduy 券门
udwy 头领
udyo 叛变
udyt 羌族
uedw 前秦
ueeq 前胸
uefj 前朝
uegq 前列
uelg 商用车
uena 前殿
ueqt 前锋
uetf 遂行
uewt 前任
ufax 装药
ufdd 凌厉
uffa 半截
uffg 壮士
uffw 道教协会
ufhh 闭目
ufid 兰湖
ufkh 半路
ufpw 凌空
ufrh 装卸
ufrn 姜声扬
ufrt 半斤
uftd 冯云乔
ufud 半头
ufuf 半封闭
ufvf 半封建
ufwh 装修
ufyt 壮族
uggd 前一天
ugkf 辣味
ugnf 半殖民地
ugpy 冯玉祥
ugqd 凄然
ugqg 新开铺
ugqq 闻一多
ugtf 盖德
uhde 丫鬟
uhgf 着眼于
uift 立法者
uigq 颜洪烈
uigy 北洋政府
uikk 北河口
uikq 阎鸿唤
uimm 商洛山
uipu 北洋军阀
uitg 资源管理
uiyf 郑肖庄
ujab 音节
ujbb 童子
ujbf 竟陵
ujjj 交易日
ujjs 单果
ujlt 竭力
ujqg 单果鲜
ujrg 单兵
ujrn 交易所
ujsg 闽西
ujsn 意杨
ujtf 单行
ujtm 单身 单向
ujwf 交易会
ujww 单人 意欲
ujyi 郑晓京
ujym 音调
ukbw 总队
ukfr 关路圻
ukga 冲开
ukgm 冲刺
ukha 冲虚
ukjg 总量
ukqi 准噶尔
ukql 交响乐团
ukqt 冲锋
ukrg 总兵
uksc 阔叶树
ukss 阔叶林
ukta 总长
uktk 冲积
uktu 商品生产
ukud 意味着 冲着
ukuk 总部
ukuq 部将
ukwf 总值
ukwv 总分
ukww 六中全会
ukxi 商品经济
ukyn 商品房
ukyt 部族
ulbw 美国队
ulgy 曾思玉 美国政府
uljg 装甲师
ullw 美国国会
ulpp 美国空军
ulsy 姜恩柱
ulth 交界处
ummf 商周
umng 疫情
umsm 商贾
umuy 端门
umww 端坐
umyf 端庄
umyt 商旅
uolf 产业园
uoqt 商业银行
uous 产业资本
upfd 商宝震
upic 冯之浚
upnt 决定性
uppk 慈宁宫
uppy 章宗祥
upsu 曾宪梓
uqad 奖项
uqai 冯锡范
uqbb 次子
uqce 效能
uqfg 普鲁士
uqfw 交替
uqib 音乐学院
uqip 音乐堂
uqkk 瓷器
uqkq 闻名中外
uqlt 竞争力
uqqq 奖金
uqsg 交配
uqsv 次要
uqtg 次生
uqwf 交付 音乐会
uqwx 交货
uqwy 将领 将令
uqyx 产销率
urjg 装卸量
urrp 总指挥
urww 交换价值
usfj 新堤
usgh 亲政
usgk 亲事
usia 新江
usii 新沙
usiq 郑李辉
usis 新河
usiy 新洲
uskh 新路
uskq 美术史
uspb 美术字
uspe 亲家
uspj 装机容量
usqg 新鲜
usqn 美术馆
usrg 亲兵
usrp 新近
usrt 亲手
usst 新桥
usta 酋长
ustg 新生 亲征 亲生
usth 新版
usud 闲着
usuf 新西兰
usuq 辣椒酱
usut 新颜
uswt 新任
usww 新人 遵从
utad 疾苦
utdm 颜面
utfn 道场
utft 道教 决策者
utkk 疾患
utlg 首辅
utnt 首发
utpe 道家
utqq 准备金
utqt 新生儿
utta 道长
uttf 道德 首选
uttr 道特
utuf 新科状元
utuk 商务部
utvd 道姑
utyw 首座
uufn 立志
uugf 立于
uumq 新闻网
uung 新闻司
uwfc 闪动
uwhq 北伐战争
uwkk 总人口
uwmq 新华网
uwpl 北伐军
uwuy 新华门
uwwc 冯公公
uwwf 交货值
uwyv 曾令良
uxbb 辫子
uxdj 北非
uxdm 北面
uxfd 北城
uxfh 北坡
uxid 北湖
uxiy 北流
uxjy 背影
uxlk 总编辑
uxmm 北山
uxpy 慈禧 凝神
uxtg 凝重
uxtm 北向
uxud 背叛 递减
uxuk 背部
uxuq 北郊
uxxf 北纬
uxyw 总统府
uyad 六期
uydm 单方面
uyee 章启月
uyfa 北京地区
uykh 六路 六中
uynm 六届
uypg 关广富
uypy 童庆禧
uyqe 六角
uysr 门板
uyss 曾为楚
uyuk 六部
uywu 六位
uyyg 辨证
uyyn 门扉
uyyt 凉州
uyyw 门诊 辨认
vatd 姚期智
vawt 杂草丛生
vbfx 九阴真经
vbqt 女孩儿
vbyx 录取率
vcwg 即便
vddy 姨太太
vdsg 尹克西
vdwg 邵大侠
vefc 退去
verg 退兵
verm 郡县制
veve 奶奶
vfcc 那双
vfcn 那马
vfdd 那大
vffn 那场
vfge 尹吉甫
vfgu 建平 尹志平
vfjf 那时
vfqt 妹儿
vfst 建桥
vfsv 那根
vftf 建行
vfuq 建交
vfvf 娃娃 姥姥
vfwu 那位
vfwx 建华
vfyv 建康
vfyy 寻访
vgpj 好不容易
vgri 姚来泉
vidn 姚湘成
vint 灵活性
vips 尹汉宁
vith 好消息
vjwg 姚师傅
vkad 如其 如若
vkld 恕罪
vkss 如林
vkwy 召集
vlpy 嫘祖
vmwh 好几个
vpmm 九宫山
vqkw 努尔哈
vqvh 既然如此
vsnd 杂剧
vsrf 杂质
vtah 群臣
vtbj 九阳
vtfg 九十
vtgg 九五 郡王
vtnx 巡航导弹
vtny 九尺
vtog 建筑业
vtqt 九卿
vtuj 九章
vtvt 建筑群
vtxg 九线
vtyg 郡主
vuuf 刀美兰
vvbb 嫂子
vvfh 女真
vvqg 娃娃鱼
vvvv 嫂嫂
vwff 群众运动
vwnt 群众性
vwqf 尹集镇
vwqt 那会儿
vybb 娘子
vykh 建设路
vynt 建设性
waai 任茂东
waaj 合葬墓
waff 借款
wafg 华莱士
wafy 伊藤博文
waid 人工湖
wajg 储藏量
walw 全世界
wate 俞莲舟
waud 借着
wauf 伊斯兰教 伊斯兰
waxw 借给
wbaa 分子式
wbaw 鸽子花
wbet 公孙胜
wbgd 修承天
wbhh 公孙止
wbnh 伍子胥
wbte 登陆舰
wbwt 创伤
wbwy 公孙谷主
wcbi 公孙
wccq 公鸡
wcde 公有
wchg 公凸
wclg 公国
wcpv 公案
wcud 公差
wcwc 公公
wcwg 公使
wcww 公人
wdbl 优孟
wddw 华辰春
wdfh 做起
wdfq 余万元
wdjk 集成电路
wdpy 任克礼
wdrt 八万斤
wdtf 优待
wduk 何太冲
wdww 估价
wdwx 拿破仑
wdyl 做为
wdyw 信春鹰
weft 使用者
wegf 借助于
wfap 伍增荣
wfbm 传出
wfdf 从未有过
wffg 传教士
wffh 会址
wfft 传教
wffw 佛教协会
wfgd 祭天
wfgf 传球
wfip 儒学
wfjg 会师
wfkq 仁兄
wfna 舒展
wfng 祭司
wfnt 优越性
wfpl 傅志寰
wfpy 祭祖
wfqt 会儿
wfrw 八十年代
wftj 舍得
wftk 全过程
wfue 公元前
wfuj 会意
wfux 仁慈
wfvv 侍女
wfwg 舍命
wfwt 仕途
wfww 侍从 舍人
wfwy 传令
wfxw 传给
wfyn 传遍
wfyt 畲族
wfyy 传言
wgad 登基
wgag 合葬
wgbb 例子 盒子 凳子
wgbm 使出
wgce 全球通
wgdt 全邦
wgdw 代表大会
wgfg 便士
wgfh 全真
wgfn 全场 俞正声
wgft 使者
wggf 全球
wggh 倒下
wggq 全歼
wgif 剑法
wgip 伦理学
wgiw 合兴
wgiy 段正淳
wgjg 命题
wgjy 合影
wglf 代表团 倒转
wglg 舒惠国
wglt 合力
wgnn 全书 僵尸 僵局
wgnt 代表性 全球性
wgpe 全家
wgpt 侠客
wgpv 修正案
wgqd 俨然
wgqy 全岛
wgsc 全权
wgst 剑桥
wgte 全盘
wgtj 便利 舍不得
wgtq 合称
wgud 债券
wgwg 使命 愈来愈 愈合
wgwq 倒像
wgwt 代表作
wgww 代理人 代表人
wgwx 全球化
wgwy 命令 全集
wgyo 余平方米
wgyt 全州
wgyy 修正主义
whip 保贞堂
whmd 余叔岩
whnt 个性
whpu 候补
whta 修筑
whtf 修行
whud 个头
whwh 个个
wiao 化学工业
wifg 化学元素
wimy 俞小凡
wiry 化学反应
wist 储油构造
wivt 余少群
wiwg 愈演愈烈
wjfn 伏明霞
wjjp 何晔晖
wjqq 何晟铭
wjyj 任贤齐
wkad 保荐
wkfa 华中地区
wkmq 公路网
wkst 公路桥
wkwg 保全
wkyv 保康
wlln 段思思
wlpl 集团军 侵略军
wlqt 华国锋
wlww 俄国人
wmsi 仙桃
wnad 假若
wnbq 何心隐
wngb 领导班子
wngf 人民政协
wngu 人民武装
wnif 公司法
wnlw 人民团体
wnmq 人民网
wnnf 领导层
wnrg 追兵
wnrh 亿年
wnsc 领导权
wnsr 亿株
wnwk 领导人员
wnwx 个性化
wolf 创业园
wpfa 倪家塔
wptk 候补委员
wpub 公安部队
wpuu 公安部门
wqaq 使馆区
wqds 令狐大哥
wqfq 亿多元
wqft 你老
wqgm 何鲁丽
wqif 低洼
wqli 伏尔加河
wqsc 任免权
wquk 令狐冲
wqwh 今儿个
wqwq 爹爹 爷爷
wrdt 傅振邦
wrmt 倪岳峰
wsdi 剑桥大学
wsfs 何椿霖
wsga 体型
wsgk 何事
wsha 体虚
wsth 何处
wstk 何种
wswg 全权代表
wsww 债权人
wsxg 焦枝线 焦柳线
wsyy 何方
wtag 八七
wtaw 俄共
wtay 伍廷芳
wtdd 八大
wtdn 余万
wtet 任用
wtey 余脉
wtft 任教
wtgg 八五
wtgj 亿千瓦时
wtgo 叙利亚
wthv 斜眼
wtiq 傅德辉
wtkh 八中
wtkk 伤口
wtkm 伤员
wtlt 创造力 伽利略
wtmq 信息网
wtna 保和殿
wtnt 创造性
wtoy 余米
wtpe 余家
wtpf 倭寇
wtpg 八宝
wtpl 俄军
wtpv 侯长安
wtqk 八名
wtrh 八年
wtrs 信息技术
wtsu 什么样
wtth 余处
wttk 余种
wttx 信息系统
wtud 侨眷
wtuj 做生意
wtus 货币资本
wtyg 作证
wtyi 傅自应
wtyl 余亩
wufq 亿美元
wugf 仅次于 任意球
wuna 任新民
wuwk 僧侣
wuwm 谷六仙
wvad 贫苦
wvaw 谷建芬
wvdm 颁布
wvdn 伊万
wvff 分封
wvgq 分列
wvic 分治
wvlf 分团
wvnt 分属
wvpd 分割
wvpy 分神
wvqi 伊尔
wvsf 分枝
wvtf 颁行
wvtj 伊犁
wvtm 分身
wvtp 贫乏
wvut 贫道
wvwf 分付
wvwx 侵华
wvxw 分给
wvyb 分离
wvyv 伊朗
wwah 俞伯牙
wwcd 坐骑
wwem 公众股
wwfd 谷城
wwga 人形
wwgh 从政
wwgk 人事
wwgo 从严
wwip 人学
wwjg 价值量
wwkh 丛中
wwkk 人品
wwmq 公众网
wwmr 个人崇拜
wwng 分公司
wwnt 从属
wwpg 坐定
wwpy 合作社
wwqk 俗名
wwrd 集体所有
wwtf 人选 人造 人行
wwtg 丛生
wwtk 人种
wwtq 俗称
wwtr 化合物 谷物
wwud 人头
wwuq 人次 众将
wwwf 人代会
wwwu 价位
wwww 偷偷 人丛
wwxx 伦比
wwyg 谷主
wwyt 仡佬族
wxfa 佛塔
wxgm 华瑞
wxjf 任弼时
wxmm 华山
wxpl 化军
wxtm 货币 化身
wxwt 华侨
wxwy 侯张信
wxyl 化为
wyay 含蓄
wybp 众议院
wybw 依附
wydm 登记在册
wyet 食用
wyfa 侯方域
wyff 信封 体育运动
wyfh 食盐 仿真
wyfm 偏南
wyfn 体育场
wygk 信赖 领事
wyhi 停步
wyhk 停战
wyif 贪污
wyit 领海
wyjg 储量 会计师
wyjj 登记日
wyjv 仿照
wykh 焦躁
wykk 仪器
wylg 邻国
wylt 贪图
wynt 食性
wypl 伪军
wyqq 何应钦
wyqt 令狐
wyrn 住所
wyrt 信托
wytf 依靠 领先 信徒 伪造
wytg 偏重
wyth 住处 停牌
wytm 俯身
wytq 依稀
wyud 偏差 领头
wyuq 集资 仿效 偏将
wyut 念道 信道
wywd 仪仗
wywf 集会
wywt 代主任
wywu 全方位
wyww 食欲 售价 代言人
wywy 偏偏
wyyg 侯义斌 领主
wyyu 俗话说
xaal 红薯 红莲
xaap 张蓉蓉
xaaw 红花
xafd 绕城
xaff 红墙
xaft 张英才 经营者
xapv 红安
xaut 绕道
xaxm 红绸
xbfw 纳孙夫人
xcic 弘治
xddh 张三丰
xduw 组成部分
xdwc 张龙俊
xeif 费胜潮
xfjc 张志坚
xfkh 张献忠
xfmq 张培刚
xfnn 张无忌
xfrt 乡土气息
xghh 比不上
xgkh 给事中
xgnt 线性
xguq 绩效
xgww 经理人 乡下人
xgyw 乡政府
xhkg 绰号
xhud 引着
xhwy 引信
xiad 经济基础
xiai 张学东
xiaq 统治区
xiga 经济型
xigk 经济带
xigm 张海丽
xiih 经江波
xiip 经济学家
xipw 经济社会
xisc 统治权
xiss 经济林
xiwr 经济体制
xiwt 经济作物
xiyg 张润斌
xjgu 张昌平
xjqi 张昌尔
xjsx 张明楷
xktf 织造
xldt 张国焘
xlft 编辑者
xlih 幼小
xliq 张国光
xlrh 细看
xmoy 纳粹
xmwf 纳什
xngh 张居正
xngk 纪事
xntv 纪委
xotg 肄业生
xoue 张业遂
xpai 毕家荡
xpdg 红宝石
xpfy 毕家塘
xpga 张宗琪
xpiy 张家湾
xqrf 绝技
xrwf 张振仕
xsdg 绿松石
xswx 张桂华
xsyt 纳西族
xtad 张毓茂
xtfw 纤夫
xtjf 比利时
xtpe 张家
xtps 张宁
xtwx 张智华
xual 弹匣
xupg 张新宝
xuuf 张美兰
xvak 绿萼
xvbb 红娘子
xvpg 张君宝
xwfs 张作霖
xwft 张佑才
xwig 综合治理
xwll 综合国力
xwnt 综合性
xwtg 综合征
xwtm 纵身
xwuk 结合部
xwve 张舒媛
xwxf 纵贯
xxdp 比达
xxft 组织者
xxgx 纤维素
xxif 组织法
xxlg 张维国
xxrq 细细的
xxsr 纤维板
xxtg 毕生
xxtk 张继禹
xxwg 毙命
xxww 经纪人
xxxx 幽幽
xxyt 幽州
xyft 统考
xyna 张义民
xypu 顷刻之间
xyqn 纹饰
xyrm 统制
xyuj 顷刻间
xywy 缠住
xyxa 张永红
xyxk 编织
yaai 谢若萍
yadc 许世友
yafp 度过
yaga 文东武
yajg 郭药师 度量
yalt 谋略
yaot 主营业务
yati 文艺复兴
yatm 试射
yaud 试卷
yaxi 计划经济
yayp 刘芳亮
yayy 诺言
ybai 刘卫东
ybdj 刘子厚
ybqf 高陵镇
ybrk 谭子拐
ybtr 亨特
ybwx 刘子华
ycft 育才
ycpl 义勇军
ycpu 充裕
ydgh 广布政
ydgo 文泰来
ydhj 放在眼里
ydip 庵堂
ydje 郭有明
ydkk 放大器
ydkt 刘大响
ydnu 刘雁飞
ydpl 方面军
ydri 刘石泉
yejg 施用量
yepu 衣襟 衣袖
yfap 刘雪荣
yfbt 文教卫生
yfdw 谭元春
yfgg 许志琴
yfgk 许嘉璐 诸事
yfhh 庄上
yfip 讲演
yfpl 刘志军
yfpt 庄客
yfte 诸般
yftg 计策
yfww 郭超人
yfxu 毫无疑问
yfyt 诸州
yfyw 讲座
yfyy 计议
ygad 唐一菲
ygal 高一功
ygdp 文武百官
ygfi 请示
ygft 主教
yggh 这一下 主政
yggo 这一来
yghk 主战
ygmd 玄武岩
ygmq 证见 刘正风
ygna 郭天民
ygny 刘玉尺
ygou 主料
ygpu 主宰
ygqc 毫不犹豫
ygrn 语气
ygud 评判
yguj 语音
yguq 主将
ygvv 唐一娜 庞丽娜
ygwf 议事会
ygww 证人
ygyq 说到底
ygyt 语族
ygyw 市政府 州政府
ygyy 语文 评议
yhcm 唐贞观
yiad 郭沫若
yiee 鹿兆鹏
yief 旅游胜地
yifd 应城
yift 旅游者 京都
yigb 方小顿
yiic 京汉
yijg 京师
yikq 文学史
yild 刘湛恩
yimm 京山
yiog 旅游业
yiqk 襄渝铁路
yisg 京西
yitf 应选
yiut 文渊阁
yiwf 应付
yixg 襄渝线
yiyt 京族
yiyw 方法论 就诊
yiyy 京广
yjhh 课目
yjjg 剂量
yjpe 刘家
yjpy 刘明祖
yjtl 刘备
yjud 刘翔
yjyu 就是说
ykkd 调味品厂
ykny 市中心
ykvi 郭中姚
ykyt 襄州
ylaq 市辖区
ylga 扁圆形
ylgh 为政 刘国正
yltg 为生
ymal 郭凤莲
ymbf 高陵
ymbj 谢丹阳
ymbm 高出
ymdg 高三
ymeg 京山县 高悬
ymfh 高坡
ymfn 高声
ymgg 高一
ymgk 高速
ymgm 高丽
ymhi 高频
ymif 设法 高法
ymiw 高举
ymjf 庙里
ymkh 高贵 调遣
ymkt 高呼
ympe 高家
ympg 庙宇
ympw 市容
