uxyi 北京
ydfc 庆云
jkeg 临邑县
jtkc 临邑
yieg 齐河县
yjis 齐河
gdeg 平原县
gudr 平原
dieg 夏津县
dhiv 夏津
gfeg 武城县
gafd 武城
tyga 德州天衢新区
tygu 德州天衢新
qbym 乐陵市
qibf 乐陵
tfym 禹城市
tkfd 禹城
bqfd 聊城
bfym 聊城市
ajya 东昌府区
ajyw 东昌府
agaq 茌平区
awgu 茌平
bweg 阳谷县
bjww 阳谷
aueg 莘县
abeg 东阿县
aibs 东阿
pfeg 冠县
yyeg 高唐县
ymyv 高唐
jiym 临清市
jtig 临清
ipyt 滨州
iyym 滨州市
ifaq 滨城区
ipfd 滨城
iwaq 沾化区
ihwx 沾化
gneg 惠民县
gjna 惠民
bweg 阳信县
bjwy 阳信
fseg 无棣县
fqsv 无棣
fieg 博兴县
fgiw 博兴
qgym 邹平市
qvgu 邹平
aiic 菏泽
aiym 菏泽市
tmaq 牡丹区
trmy 牡丹
pbaq 定陶区
pgbq 定陶
gmeg 曹县
ujeg 单县
dgeg 成武县
dnga 成武
ajeg 巨野县
anjf 巨野
pfeg 郓城县
plfd 郓城
sfeg 鄄城县
sffd 鄄城
ajeg 东明县
aije 东明
aixa 菏泽经济技术开发区
aixn 菏泽经济技术开发
aiya 菏泽高新技术开发区
aiyn 菏泽高新技术开发
isfm 河南
ifit 河南省
udyt 郑州
uyym 郑州市
kdaq 中原区
khdr 中原
faaq 二七区
fgag 二七
tfla 管城回族区
tfly 管城回族
qiaq 金水区
qqii 金水
htaq 上街区
hhtf 上街
giaq 惠济区
gjiy 惠济
kceg 中牟县
khcr 中牟
uyxa 郑州经济技术开发区
uyxn 郑州经济技术开发
uyya 郑州高新技术产业开发区
uyyn 郑州高新技术产业开发
uyta 郑州航空港经济综合实验区
uytc 郑州航空港经济综合实验
ayym 巩义市
amyq 巩义
abym 荥阳市
apbj 荥阳
upym 新密市
uspn 新密
uuym 新郑市
usud 新郑
wfym 登封市
wgff 登封
gaff 开封
gfym 开封市
dyaq 龙亭区
dxyp 龙亭
kila 顺河回族区
kily 顺河回族
tgca 禹王台区
tgck 禹王台
ptaq 祥符区
pytw 祥符
sneg 杞县
cyeg 通许县
ceyt 通许
nqeg 尉氏县
nfqa 尉氏
ufeg 兰考县
ufft 兰考
itbj 洛阳
ibym 洛阳市
ffaq 老城区
ftfd 老城
saaq 西工区
sgaa 西工
iila 瀍河回族区
iily 瀍河回族
isaq 涧西区
iusg 涧西
wjaq 偃师区
wajg 偃师
biaq 孟津区
bliv 孟津
idaq 洛龙区
itdx 洛龙
upeg 新安县
uspv 新安
ykeg 栾川县
yokt 栾川
myeg 嵩县
ibeg 汝阳县
ivbj 汝阳
pbeg 宜阳县
pebj 宜阳
ipeg 洛宁县
itps 洛宁
wkeg 伊川县
wvkt 伊川
ibya 洛阳高新技术产业开发区
ibyn 洛阳高新技术产业开发
gsmm 平顶山
gsmy 平顶山市
baaq 卫东区
bgai 卫东
ddaq 石龙区
dgdx 石龙
iiaq 湛河区
iais 湛河
pdeg 宝丰县
pgdh 宝丰
kfeg 叶县
qmeg 鲁山县
qgmm 鲁山
gueg 郏县
gsma 平顶山高新技术产业开发区
gsmn 平顶山高新技术产业开发
gsma 平顶山市城乡一体化示范区
gsma 平顶山城乡一体化示范
rqym 舞钢市
rlqm 舞钢
iyym 汝州市
ivyt 汝州
pvbj 安阳
pbym 安阳市
ymaq 文峰区
yymt 文峰
uuaq 北关区
uxud 北关
rfaq 殷都区
rvft 殷都
dpaq 龙安区
dxpv 龙安
pbeg 安阳县
ibeg 汤阴县
inbe 汤阴
imeg 滑县
maeg 内黄县
mwam 内黄
pbya 安阳高新技术产业开发区
pbyn 安阳高新技术产业开发
syym 林州市
ssyt 林州
pwnk 鹤壁
pnym 鹤壁市
pmaq 鹤山区
pwmm 鹤山
mfaq 山城区
mmfd 山城
iiaq 淇滨区
iaip 淇滨
iceg 浚县
iaeg 淇县
pnxa 鹤壁经济技术开发区
pnxn 鹤壁经济技术开发
usxt 新乡
uxym 新乡市
xyaq 红旗区
biaq 卫滨区
bgip 卫滨
mraq 凤泉区
mcri 凤泉
tjaq 牧野区
trjf 牧野
uxeg 新乡县
afeg 获嘉县
aqfk 获嘉
dbeg 原阳县
drbj 原阳
tieg 延津县
thiv 延津
freg 封丘县
ffrg 封丘
uxya 新乡高新技术产业开发区
uxyn 新乡高新技术产业开发
uxxa 新乡经济技术开发区
uxxn 新乡经济技术开发
uxya 新乡市平原城乡一体化示范区
uxga 新乡平原城乡一体化示范
biym 卫辉市
bgiq 卫辉
ieym 辉县市
tfym 长垣市
tafg 长垣
wywt 焦作
wwym 焦作市
qyaq 解放区
qeyt 解放
kuaq 中站区
khuh 中站
csaq 马村区
cnsf 马村
mbaq 山阳区
mmbj 山阳
wgeg 修武县
whga 修武
feeg 博爱县
fgep 博爱
gbeg 武陟县
gabh 武陟
ijeg 温县
wwfa 焦作城乡一体化示范区
wwfa 焦作城乡一体化示范
ibym 沁阳市
inbj 沁阳
byym 孟州市
blyt 孟州
iwbj 濮阳
ibym 濮阳市
wdaq 华龙区
wxdx 华龙
ideg 清丰县
igdh 清丰
fqeg 南乐县
fmqi 南乐
aieg 范县
cueg 台前县
ckue 台前
ibeg 濮阳县
ifia 河南濮阳工业园区
ifil 河南濮阳工业园
ibxa 濮阳经济技术开发区
ibxn 濮阳经济技术开发
ytjj 许昌
yjym 许昌市
tfaq 魏都区
tvft 魏都
vpaq 建安区
vfpv 建安
gbeg 鄢陵县
ghbf 鄢陵
yfeg 襄城县
ykfd 襄城
yjxa 许昌经济技术开发区
yjxn 许昌经济技术开发
tyym 禹州市
tkyt 禹州
taym 长葛市
taaj 长葛
ilis 漯河
iiym 漯河市
iiaq 源汇区
idia 源汇
afaq 郾城区
ajfd 郾城
vbaq 召陵区
vkbf 召陵
rbeg 舞阳县
rlbj 舞阳
jxeg 临颍县
jtxi 临颍
iixa 漯河经济技术开发区
iixn 漯河经济技术开发
dumg 三门峡
dumy 三门峡市
iiaq 湖滨区
idip 湖滨
byaq 陕州区
bgyt 陕州
iieg 渑池县
ikib 渑池
hqeg 卢氏县
hnqa 卢氏
ifda 河南三门峡经济开发区
ifdn 河南三门峡经济开发
ycym 义马市
yqcn 义马
vpym 灵宝市
vopg 灵宝
fmbj 南阳
fbym 南阳市
pfaq 宛城区
pqfd 宛城
adaq 卧龙区
ahdx 卧龙
fveg 南召县
fmvk 南召
yfeg 方城县
yyfd 方城
smeg 西峡县
sgmg 西峡
qgeg 镇平县
qfgu 镇平
mxeg 内乡县
mwxt 内乡
ikeg 淅川县
iskt 淅川
pyeg 社旗县
yieg 唐河县
yvis 唐河
ujeg 新野县
usjf 新野
sseg 桐柏县
smsr 桐柏
fbya 南阳高新技术产业开发区
fbyn 南阳高新技术产业开发
fbya 南阳市城乡一体化示范区
fbfa 南阳城乡一体化示范
cyym 邓州市
cbyt 邓州
umrg 商丘
urym 商丘市
ilaq 梁园区
ivlf 梁园
hbaq 睢阳区
hwbj 睢阳
nseg 民权县
nasc 民权
hweg 睢县
pbeg 宁陵县
psbf 宁陵
sfeg 柘城县
sdfd 柘城
hfeg 虞城县
hafd 虞城
dkeg 夏邑县
dhkc 夏邑
caxa 豫东综合物流产业聚集区
caxw 豫东综合物流产业聚集
ifua 河南商丘经济开发区
ifun 河南商丘经济开发
yfym 永城市
ynfd 永城
wybj 信阳
wbym 信阳市
iiaq 浉河区
ijis 浉河
gsaq 平桥区
gust 平桥
lmeg 罗山县
lqmm 罗山
imeg 光山县
iqmm 光山
useg 新县
ufeg 商城县
umfd 商城
lveg 固始县
ldvc 固始
ikeg 潢川县
iakt 潢川
iieg 淮滨县
iwip 淮滨
theg 息县
wbya 信阳高新技术产业开发区
wbyn 信阳高新技术产业开发
mfkk 周口
mkym 周口市
kiaq 川汇区
ktia 川汇
ibaq 淮阳区
iwbj 淮阳
rieg 扶沟县
rfiq 扶沟
sweg 西华县
sgwx 西华
uieg 商水县
umii 商水
ireg 沈丘县
iprg 沈丘
ufeg 郸城县
ujfd 郸城
dyeg 太康县
dyyv 太康
ykeg 鹿邑县
ynkc 鹿邑
mkja 周口临港开发区
mkjn 周口临港开发
afym 项城市
adfd 项城
ccyh 驻马店
ccyy 驻马店市
cfaq 驿城区
ccfd 驿城
sgeg 西平县
sggu 西平
haeg 上蔡县
hhaw 上蔡
gweg 平舆县
guwf 平舆
gbeg 正阳县
ghbj 正阳
dmeg 确山县
dqmm 确山
ibeg 泌阳县
inbj 泌阳
ifeg 汝南县
ivfm 汝南
ugeg 遂平县
uegu 遂平
uaeg 新蔡县
usaw 新蔡
ifca 河南驻马店经济开发区
ifcn 河南驻马店经济开发
ifla 省直辖县级行政区划
iiym 济源市
iyid 济源
idux 湖北
iuit 湖北省
gaic 武汉
giym 武汉市
imaq 江岸区
iamd 江岸
iiaq 江汉区
iaic 江汉
dkaq 硚口区
dtkk 硚口
ibaq 汉阳区
icbj 汉阳
gjaq 武昌区
gajj 武昌
imaq 洪山区
iamm 洪山
asia 东西湖区
asid 东西湖
ifaq 汉南区
icfm 汉南
aqaq 蔡甸区
awql 蔡甸
idaq 江夏区
iadh 江夏
abaq 黄陂区
ambh 黄陂
uiaq 新洲区
usiy 新洲
amdg 黄石
adym 黄石市
adia 黄石港区
adia 黄石港
spma 西塞山区
spmm 西塞山
gbaq 下陆区
ghbf 下陆
qmaq 铁山区
qrmm 铁山
bueg 阳新县
bjus 阳新
duym 大冶市
dduc 大冶
fgfa 十堰
ffym 十堰市
ataq 茅箭区
actu 茅箭
xiaq 张湾区
xtiy 张湾
kbaq 郧阳区
kmbj 郧阳
kseg 郧西县
kmsg 郧西
tmeg 竹山县
ttmm 竹山
tieg 竹溪县
ttie 竹溪
yneg 房县
miky 丹江口市
mikk 丹江口
pejj 宜昌
pjym 宜昌市
sbaq 西陵区
sgbf 西陵
wpma 伍家岗区
wpmm 伍家岗
hpaq 点军区
hkpl 点军
qyaq 猇亭区
qtyp 猇亭
gbaq 夷陵区
gxbf 夷陵
fpeg 远安县
fqpv 远安
imeg 兴山县
tjeg 秭归县
ttjv 秭归
tbfe 长阳土家族自治县
tbfi 长阳土家族自治
gmfe 五峰土家族自治县
gmfi 五峰土家族自治
pfym 宜都市
peft 宜都
ibym 当阳市
ivbj 当阳
siym 枝江市
sfia 枝江
ykbj 襄阳
ybym 襄阳市
yfaq 襄城区
sfaq 樊城区
sqfd 樊城
yyaq 襄州区
ykyt 襄州
fieg 南漳县
fmiu 南漳
wfeg 谷城县
wwfd 谷城
wyeg 保康县
wkyv 保康
fiky 老河口市
fikk 老河口
gbym 枣阳市
gmbj 枣阳
pfym 宜城市
pefd 宜城
kkyt 鄂州
kyym 鄂州市
ibia 梁子湖区
ibid 梁子湖
wpaq 华容区
wxpw 华容
kfaq 鄂城区
kkfd 鄂城
aguy 荆门
auym 荆门市
apaq 东宝区
aipg 东宝
rvaq 掇刀区
rcvn 掇刀
iieg 沙洋县
iiiu 沙洋
qpym 钟祥市
qkpy 钟祥
ymym 京山市
yimm 京山
ftdg 孝感
fdym 孝感市
ffaq 孝南区
ftfm 孝南
fjeg 孝昌县
ftjj 孝昌
dneg 大悟县
ddng 大悟
fseg 云梦县
fcss 云梦
yfym 应城市
yifd 应城
pbym 安陆市
pvbf 安陆
ikym 汉川市
ickt 汉川
agyt 荆州
ayym 荆州市
iyaq 沙市区
ayaq 荆州区
wpeg 公安县
wcpv 公安
ibeg 江陵县
iabf 江陵
ayxa 荆州经济技术开发区
ayxn 荆州经济技术开发
duym 石首市
dgut 石首
iiym 洪湖市
iaid 洪湖
siym 松滋市
swiu 松滋
jtym 监利市
jttj 监利
ammq 黄冈
amym 黄冈市
ayaq 黄州区
amyt 黄州
lmeg 团风县
lfmq 团风
xpeg 红安县
xapv 红安
lleg 罗田县
lqll 罗田
ameg 英山县
ammm 英山
iieg 浠水县
iqii 浠水
adeg 蕲春县
audw 蕲春
aseg 黄梅县
amst 黄梅
ddia 龙感湖管理区
ddig 龙感湖管理
yfym 麻城市
ysfd 麻城
gpym 武穴市
gapw 武穴
dgps 咸宁
dpym 咸宁市
dpaq 咸安区
dgpv 咸安
fqeg 嘉鱼县
fkqg 嘉鱼
cfeg 通城县
cefd 通城
mbeg 崇阳县
mpbj 崇阳
cmeg 通山县
cemm 通山
fnym 赤壁市
fonk 赤壁
bdyt 随州
byym 随州市
ufaq 曾都区
ulft 曾都
bdeg 随县
yiym 广水市
yyii 广水
lyfy 恩施土家族苗族
lyfy 恩施土家族苗族自治州
lyym 恩施市
ldyt 恩施
tkym 利川市
tjkt 利川
vveg 建始县
vfvc 建始
caeg 巴东县
cnai 巴东
pleg 宣恩县
pgld 宣恩
ddeg 咸丰县
dgdh 咸丰
gmeg 来凤县
gomc 来凤
pmeg 鹤峰县
pwmt 鹤峰
wsym 仙桃市
wmsi 仙桃
iiym 潜江市
ifia 潜江
guym 天门市
gduy 天门
ppla 神农架林区
ppls 神农架林
idfm 湖南
ifit 湖南省
taii 长沙
tiym 长沙市
aaaq 芙蓉区
afap 芙蓉
gnaq 天心区
gdny 天心
rsaq 岳麓区
rgss 岳麓
gpaq 开福区
gapy 开福
faaq 雨花区
fgaw 雨花
yfaq 望城区
ynfd 望城
tieg 长沙县
ibym 浏阳市
iybj 浏阳
pxym 宁乡市
psxt 宁乡
sriy 株洲
siym 株洲市
afaq 荷塘区
awfy 荷塘
aiaq 芦淞区
ayis 芦淞
dmaq 石峰区
dgmt 石峰
gfaq 天元区
gdfq 天元
ikaq 渌口区
ivkk 渌口
wheg 攸县
abeg 茶陵县
awbf 茶陵
obeg 炎陵县
oobf 炎陵
sbym 醴陵市
sgbf 醴陵
isis 湘潭
iiym 湘潭市
fiaq 雨湖区
fgid 雨湖
rfaq 岳塘区
rgfy 岳塘
iieg 湘潭县
ifia 湖南湘潭高新技术产业园区
ifil 湖南湘潭高新技术产业园
iija 湘潭昭山示范区
iija 湘潭昭山示范
iiva 湘潭九华示范区
iiva 湘潭九华示范
ixym 湘乡市
isxt 湘乡
umym 韶山市
ujmm 韶山
tqbj 衡阳
tbym 衡阳市
gjaq 珠晖区
grjp 珠晖
dmaq 雁峰区
dwmt 雁峰
dfaq 石鼓区
dgfk 石鼓
aiaq 蒸湘区
abis 蒸湘
fraq 南岳区
fmrg 南岳
tbeg 衡阳县
tfeg 衡南县
tqfm 衡南
tmeg 衡山县
tqmm 衡山
taeg 衡东县
tqai 衡东
paeg 祁东县
pyai 祁东
ifta 湖南衡阳松木经济开发区
iftn 湖南衡阳松木经济开发
ifta 湖南衡阳高新技术产业园区
iftl 湖南衡阳高新技术产业园
dbym 耒阳市
dibj 耒阳
ipym 常宁市
ipps 常宁
vkbj 邵阳
vbym 邵阳市
ciaq 双清区
ccig 双清
dpaq 大祥区
ddpy 大祥
ufaq 北塔区
uxfa 北塔
uveg 新邵县
usvk 新邵
vbeg 邵阳县
bleg 隆回县
btlk 隆回
ikeg 洞口县
imkk 洞口
xpeg 绥宁县
xeps 绥宁
upeg 新宁县
usps 新宁
fhae 城步苗族自治县
fhai 城步苗族自治
gmym 武冈市
gamq 武冈
vaym 邵东市
vkai 邵东
rgbj 岳阳
rbym 岳阳市
rbsa 岳阳楼区
rbso 岳阳楼
fiaq 云溪区
fcie 云溪
vmaq 君山区
vtmm 君山
rbeg 岳阳县
wpeg 华容县
ibeg 湘阴县
isbe 湘阴
gieg 平江县
guia 平江
rbya 岳阳市屈原管理区
rbng 岳阳屈原管理
ilym 汨罗市
ijlq 汨罗
jiym 临湘市
jtis 临湘
iptf 常德
itym 常德市
gbaq 武陵区
gabf 武陵
hfaq 鼎城区
hnfd 鼎城
pxeg 安乡县
pvxt 安乡
ideg 汉寿县
icdt 汉寿
imeg 澧县
jieg 临澧县
jtim 临澧
sieg 桃源县
siid 桃源
dueg 石门县
dguy 石门
itya 常德市西洞庭管理区
itsg 常德西洞庭管理
iyym 津市市
xplw 张家界
xply 张家界市
gbia 武陵源区
gbid 武陵源
uteg 慈利县
uxtj 慈利
cseg 桑植县
ccsf 桑植
uwbj 益阳
ubym 益阳市
ubaq 资阳区
uqbj 资阳
fmaq 赫山区
fomm 赫山
fmeg 南县
sieg 桃江县
siia 桃江
pweg 安化县
pvwx 安化
ubya 益阳市大通湖管理区
ubdg 益阳大通湖管理
ifua 湖南益阳高新技术产业园区
iful 湖南益阳高新技术产业园
iiym 沅江市
ifia 沅江
ssyt 郴州
syym 郴州市
uiaq 北湖区
uxid 北湖
awaq 苏仙区
alwm 苏仙
sbeg 桂阳县
sfbj 桂阳
pueg 宜章县
peuj 宜章
yieg 永兴县
yniw 永兴
fteg 嘉禾县
fktt 嘉禾
jgeg 临武县
jtga 临武
ifeg 汝城县
ivfd 汝城
saeg 桂东县
sfai 桂东
pweg 安仁县
pvwf 安仁
uiym 资兴市
uqiw 资兴
ynyt 永州
yyym 永州市
fbaq 零陵区
fwbf 零陵
uiia 冷水滩区
uiic 冷水滩
apeg 东安县
cteg 双牌县
ccth 双牌
uteg 道县
iyeg 江永县
iayn 江永
pfeg 宁远县
psfq 宁远
ameg 蓝山县
ajmm 蓝山
uleg 新田县
usll 新田
iwge 江华瑶族自治县
iwgi 江华瑶族自治
yyxa 永州经济技术开发区
yyxn 永州经济技术开发
yyya 永州市回龙圩管理区
yylg 永州回龙圩管理
pbym 祁阳市
pybj 祁阳
ngwx 怀化
nwym 怀化市
pfaq 鹤城区
pwfd 鹤城
kyeg 中方县
khyy 中方
ibeg 沅陵县
ifbf 沅陵
dieg 辰溪县
dfie 辰溪
iieg 溆浦县
iwig 溆浦
wmeg 会同县
wfmg 会同
ybae 麻阳苗族自治县
ybai 麻阳苗族自治
ujwe 新晃侗族自治县
ujwi 新晃侗族自治
aiwe 芷江侗族自治县
aiwi 芷江侗族自治
uyae 靖州苗族侗族自治县
uyai 靖州苗族侗族自治
cuwe 通道侗族自治县
cuwi 通道侗族自治
nwya 怀化市洪江管理区
nwig 怀化洪江管理
iiym 洪江市
iaia 洪江
ovyq 娄底
oyym 娄底市
ojaq 娄星区
ovjt 娄星
cmeg 双峰县
ccmt 双峰
uweg 新化县
uswx 新化
uiiy 冷水江市
uiia 冷水江
iiym 涟源市
ilid 涟源
isfy 湘西土家族苗族
isfy 湘西土家族苗族自治州
fuym 吉首市
fkut 吉首
iieg 泸溪县
ihie 泸溪
mmeg 凤凰县
mcmr 凤凰
afeg 花垣县
awfg 花垣
wueg 保靖县
wkug 保靖
ddeg 古丈县
dgdy 古丈
ykeg 永顺县
ynkd 永顺
dmeg 龙山县
yyai 广东
yait 广东省
yyyt 广州
yyym 广州市
aiaq 荔湾区
aliy 荔湾
ftaq 越秀区
fhte 越秀
igaq 海珠区
itgr 海珠
giaq 天河区
gdis 天河
rfaq 白云区
rrfc 白云
afaq 黄埔区
amfg 黄埔
tjaq 番禺区
tojm 番禺
afaq 花都区
awft 花都
fiaq 南沙区
fmii 南沙
wwaq 从化区
wwwx 从化
ffaq 增城区
fufd 增城
ujud 韶关
uuym 韶关市
giaq 武江区
gaia 武江
iiaq 浈江区
ihia 浈江
miaq 曲江区
maia 曲江
vieg 始兴县
vciw 始兴
wweg 仁化县
wfwx 仁化
wieg 翁源县
wcid 翁源
eige 乳源瑶族自治县
eigi 乳源瑶族自治
udeg 新丰县
usdh 新丰
qjym 乐昌市
qijj 乐昌
fdym 南雄市
fmdc 南雄
ipfk 深圳
ifym 深圳市
liaq 罗湖区
lqid 罗湖
plaq 福田区
pyll 福田
ppaq 宝安区
pgpv 宝安
dmaq 龙岗区
dxmm 龙岗
flaq 盐田区
fhll 盐田
dwaq 龙华区
dxwx 龙华
fmaq 坪山区
fgmm 坪山
ijaq 光明区
iqje 光明
grit 珠海
giym 珠海市
tiaq 香洲区
tjiy 香洲
uuaq 斗门区
ufuy 斗门
qiaq 金湾区
qqiy 金湾
imud 汕头
iuym 汕头市
diaq 龙湖区
dxid 龙湖
qgaq 金平区
qqgu 金平
iiaq 濠江区
iyia 濠江
ibaq 潮阳区
ifbj 潮阳
ifaq 潮南区
iffm 潮南
iiaq 澄海区
iwit 澄海
fieg 南澳县
fmit 南澳
wxmm 佛山
wmym 佛山市
pfaq 禅城区
pyfd 禅城
fiaq 南海区
fmit 南海
ktaq 顺德区
kdtf 顺德
diaq 三水区
dgii 三水
yjaq 高明区
ymje 高明
iauy 江门
iuym 江门市
aiaq 蓬江区
atia 蓬江
iiaq 江海区
iait 江海
uwaq 新会区
uswf 新会
cmym 台山市
ckmm 台山
ggym 开平市
pmym 鹤山市
lgym 恩平市
ldgu 恩平
iaia 湛江
iiym 湛江市
ffaq 赤坎区
fofq 赤坎
fmaq 霞山区
fnmm 霞山
fuaq 坡头区
fhud 坡头
yuaq 麻章区
ysuj 麻章
uieg 遂溪县
ueie 遂溪
tueg 徐闻县
twub 徐闻
yiym 廉江市
yuia 廉江
fyym 雷州市
flyt 雷州
kkym 吴川市
kgkt 吴川
adqk 茂名
aqym 茂名市
afaq 茂南区
adfm 茂南
jraq 电白区
jnrr 电白
yyym 高州市
ymyt 高州
wyym 化州市
wxyt 化州
wpym 信宜市
wype 信宜
ynyd 肇庆
yyym 肇庆市
uyaq 端州区
umyt 端州
hiaq 鼎湖区
hnid 鼎湖
ysaq 高要区
ymsv 高要
ypeg 广宁县
yyps 广宁
nweg 怀集县
ngwy 怀集
fgeg 封开县
ffga 封开
tyeg 德庆县
tfyd 德庆
lwym 四会市
lhwf 四会
gjyt 惠州
gyym 惠州市
gfaq 惠城区
gjfd 惠城
gbaq 惠阳区
gjbj 惠阳
fleg 博罗县
fglq 博罗
gaeg 惠东县
gjai 惠东
dueg 龙门县
dxuy 龙门
styt 梅州
syym 梅州市
siaq 梅江区
stia 梅江
seaq 梅县区
dfeg 大埔县
ddfg 大埔
dkeg 丰顺县
dhkd 丰顺
gweg 五华县
ggwx 五华
gfeg 平远县
gufq 平远
ameg 蕉岭县
awmw 蕉岭
ipym 兴宁市
iwps 兴宁
imnt 汕尾
inym 汕尾市
ideg 海丰县
itdh 海丰
bieg 陆河县
bfis 陆河
bdym 陆丰市
bfdh 陆丰
isid 河源
iiym 河源市
ifaq 源城区
idfd 源城
hqeg 紫金县
hxqq 紫金
dkeg 龙川县
dxkt 龙川
lgeg 连平县
lpgu 连平
tgeg 和平县
aieg 东源县
aiid 东源
bjia 阳江
biym 阳江市
ifaq 江城区
iafd 江城
baaq 阳东区
bjai 阳东
bseg 阳西县
bjsg 阳西
bdym 阳春市
bjdw 阳春
igfq 清远
ifym 清远市
ifaq 清城区
igfd 清城
iuaq 清新区
igus 清新
wmeg 佛冈县
wxmq 佛冈
bmeg 阳山县
bjmm 阳山
lmue 连山壮族瑶族自治县
lmui 连山壮族瑶族自治
lfge 连南瑶族自治县
lfgi 连南瑶族自治
atym 英德市
amtf 英德
lyym 连州市
lpyt 连州
aiap 东莞
aaym 东莞市
aftu 东城街道
fftu 南城街道
ditu 万江街道
aftu 莞城街道
ddqf 石碣镇
ddqf 石龙镇
amqf 茶山镇
drqf 石排镇
wdqf 企石镇
siqf 横沥镇
suqf 桥头镇
ymqf 谢岗镇
afqf 东坑镇
igqf 常平镇
phqf 寮步镇
ssuq 樟木头镇
dyqf 大朗镇
aiqf 黄江镇
iiqf 清溪镇
fdqf 塘厦镇
mmqf 凤岗镇
dmmq 大岭山镇
tpqf 长安镇
huqf 虎门镇
dtqf 厚街镇
ilqf 沙田镇
uiqf 道滘镇
isqf 洪梅镇
yiqf 麻涌镇
yrfq 望牛墩镇
kiqf 中堂镇
yfqf 高埗镇
smid 松山湖
aaia 东莞港
aatl 东莞生态园
aaia 东莞滨海湾新区
aaiu 东莞滨海湾新
kmym 中山市
dmtu 石岐街道
aatu 东区街道
atut 东街道
kmiu 中山港街道
satu 西区街道
stut 西街道
fatu 南区街道
ftut 南街道
gsmu 五桂山街道
nwtu 民众街道
fytu 南朗街道
alqf 黄圃镇
amqf 东凤镇
dqqf 古镇镇
iiqf 沙溪镇
fiqf 坦洲镇
ikqf 港口镇
dqqf 三角镇
ssqf 横栏镇
fuqf 南头镇
wiqf 阜沙镇
dxqf 三乡镇
saqf 板芙镇
diqf 大涌镇
piqf 神湾镇
isqf 小榄镇
ifyt 潮州
iyym 潮州市
isaq 湘桥区
isst 湘桥
ipaq 潮安区
ifpv 潮安
qgeg 饶平县
qngu 饶平
rjbj 揭阳
rbym 揭阳市
sfaq 榕城区
spfd 榕城
raaq 揭东区
rjai 揭东
rseg 揭西县
rjsg 揭西
ggeg 惠来县
gjgo 惠来
upym 普宁市
uops 普宁
fcie 云浮
fiym 云浮市
ffaq 云城区
fcfd 云城
fpaq 云安区
fcpv 云安
uieg 新兴县
dfeg 郁南县
defm 郁南
lpym 罗定市
lqpg 罗定
yysg 广西
ysua 广西壮族自治区
fmps 南宁
fpym 南宁市
ipaq 兴宁区
gtaq 青秀区
gete 青秀
ifaq 江南区
iafm 江南
sxfa 西乡塘区
sxfy 西乡塘
yyaq 良庆区
yvyd 良庆
vpaq 邕宁区
vkps 邕宁
gkaq 武鸣区
gakq 武鸣
bpeg 隆安县
btpv 隆安
cmeg 马山县
cnmm 马山
hseg 上林县
hhss 上林
pbeg 宾阳县
prbj 宾阳
syym 横州市
sayt 横州
sqyt 柳州
syym 柳州市
fkaq 城中区
fdkh 城中
qmaq 鱼峰区
qgmt 鱼峰
sfaq 柳南区
sqfm 柳南
suaq 柳北区
squx 柳北
siaq 柳江区
sqia 柳江
sfeg 柳城县
sqfd 柳城
ypeg 鹿寨县
ynpf 鹿寨
gpeg 融安县
gkpv 融安
giae 融水苗族自治县
giai 融水苗族自治
diwe 三江侗族自治县
diwi 三江侗族自治
sfss 桂林
ssym 桂林市
tmaq 秀峰区
temt 秀峰
ceaq 叠彩区
cces 叠彩
qmaq 象山区
ajaq 七星区
agjt 七星
dmaq 雁山区
dwmm 雁山
jsaq 临桂区
jtsf 临桂
bueg 阳朔县
bjub 阳朔
vkeg 灵川县
vokt 灵川
wyeg 全州县
wgyt 全州
ipeg 兴安县
ypeg 永福县
ynpy 永福
ibeg 灌阳县
iabj 灌阳
dete 龙胜各族自治县
deti 龙胜各族自治
uieg 资源县
uqid 资源
gqeg 平乐县
guqi 平乐
afge 恭城瑶族自治县
afgi 恭城瑶族自治
aiym 荔浦市
alig 荔浦
sgyt 梧州
syym 梧州市
dtaq 万秀区
dnte 万秀
tiaq 长洲区
taiy 长洲
dfaq 龙圩区
dxfg 龙圩
aseg 苍梧县
awsg 苍梧
aeeg 藤县
ameg 蒙山县
apmm 蒙山
miym 岑溪市
mwie 岑溪
uxit 北海
uiym 北海市
ifaq 海城区
qiaq 银海区
qvit 银海
qmia 铁山港区
qmia 铁山港
wieg 合浦县
wgig 合浦
bfia 防城港
bfiy 防城港市
ikaq 港口区
iakk 港口
bfaq 防城区
byfd 防城
hleg 上思县
hhln 上思
aiym 东兴市
aiiw 东兴
qqyt 钦州
qyym 钦州市
qfaq 钦南区
qqfm 钦南
quaq 钦北区
qqux 钦北
vmeg 灵山县
vomm 灵山
iueg 浦北县
igux 浦北
khia 贵港
kiym 贵港市
iuaq 港北区
iaux 港北
ifaq 港南区
iafm 港南
sfaq 覃塘区
sjfy 覃塘
gfeg 平南县
gufm 平南
sgym 桂平市
sfgu 桂平
gyss 玉林
gsym 玉林市
gyaq 玉州区
gyyt 玉州
pxaq 福绵区
pyxr 福绵
pweg 容县
bkeg 陆川县
bfkt 陆川
freg 博白县
fgrr 博白
ioeg 兴业县
iwog 兴业
uiym 北流市
uxiy 北流
djqc 百色
dqym 百色市
diaq 右江区
dkia 右江
lbaq 田阳区
llbj 田阳
laeg 田东县
llai 田东
tweg 德保县
tfwk 德保
